HH PPS Grouper Logic		
Hexavigesimal Code Table (converting dates to letter codes)		
Date	Julian date	Hexavigesimal
15-Oct	289	LC
16-Oct	290	LD
17-Oct	291	LE
18-Oct	292	LF
19-Oct	293	LG
20-Oct	294	LH
21-Oct	295	LI
22-Oct	296	LJ
23-Oct	297	LK
24-Oct	298	LL
25-Oct	299	LM
26-Oct	300	LN
27-Oct	301	LO
28-Oct	302	LP
29-Oct	303	LQ
30-Oct	304	LR
31-Oct	305	LS
1-Nov	306	LT
2-Nov	307	LU
3-Nov	308	LV
4-Nov	309	LW
5-Nov	310	LX
6-Nov	311	LY
7-Nov	312	LZ
8-Nov	313	MA
9-Nov	314	MB
10-Nov	315	MC
11-Nov	316	MD
12-Nov	317	ME
13-Nov	318	MF
14-Nov	319	MG
15-Nov	320	MH
16-Nov	321	MI
17-Nov	322	MJ
18-Nov	323	MK
19-Nov	324	ML
20-Nov	325	MM
21-Nov	326	MN
22-Nov	327	MO
23-Nov	328	MP
24-Nov	329	MQ
25-Nov	330	MR
26-Nov	331	MS
27-Nov	332	MT
28-Nov	333	MU
29-Nov	334	MV
30-Nov	335	MW
1-Dec	336	MX
2-Dec	337	MY
3-Dec	338	MZ
4-Dec	339	NA
5-Dec	340	NB
6-Dec	341	NC
7-Dec	342	ND
8-Dec	343	NE
9-Dec	344	NF
10-Dec	345	NG
11-Dec	346	NH
12-Dec	347	NI
13-Dec	348	NJ
14-Dec	349	NK
15-Dec	350	NL
16-Dec	351	NM
17-Dec	352	NN
18-Dec	353	NO
19-Dec	354	NP
20-Dec	355	NQ
21-Dec	356	NR
22-Dec	357	NS
23-Dec	358	NT
24-Dec	359	NU
25-Dec	360	NV
26-Dec	361	NW
27-Dec	362	NX
28-Dec	363	NY
29-Dec	364	NZ
30-Dec	365	OA
31-Dec	366	OB
